"Name";"Longitude";"Latitude";"HealthCareInfo";"CostRating";"PTName";"PTLongitude";"PTLatitude"
"Calgary";-114.067;51.05;"";0;"Alberta";-115.0;55.0
"Charlotte Town";-63.1292;46.2389;"";0;"Prince Edward Island";-63.0;46.25
"Edmonton";-113.324;53.6316;"";0;"Alberta";-115.0;55.0
"Fredericton";-66.6463;45.965;"";0;"New Brunswick";-66.1597;46.4984
"Halifax";-63.5827;44.6511;"";0;"Nova Scotia";-63.0;45.0
"Iqaluit";-68.5197;63.7486;"";0;"Nunavut";-86.799;70.4533
"Kamloops";-120.341;50.6761;"";0;"British Columbia";-127.648;53.7267
"Kelowna";-119.478;49.8821;"";0;"British Columbia";-127.648;53.7267
"Moncton";-64.7905;46.0909;"";0;"New Brunswick";-66.1597;46.4984
"Montreal";-73.5617;45.5089;"";0;"Quebec";-71.254;46.8299
"Moose Jaw";-105.552;50.3933;"";0;"Saskatchewan";-106.0;55.0
"Ottawa";-75.695;45.4247;"";0;"Ontario";-85.0;50.0
"Quebec City";-71.254;46.8299;"";0;"Quebec";-71.254;46.8299
"Red Deer";-113.811;52.2681;"";0;"Alberta";-115.0;55.0
"Regina";-104.619;50.4452;"";0;"Saskatchewan";-106.0;55.0
"Saskatoon";-106.647;52.147;"";0;"Saskatchewan";-106.0;55.0
"St. Johns";-52.7128;47.5605;"";0;"Newfoundland & Labrador";-57.6604;53.1355
"Toronto";-79.347;43.6511;"";0;"Ontario";-85.0;50.0
"Victoria";-123.33;48.4073;"";0;"British Columbia";-127.648;53.7267
"White Horse";-135.057;60.7212;"";0;"Yukon";-135.0;64.0
"Winnipeg";-97.1385;49.8951;"";0;"Manitoba";-98.7391;56.4152
"Yellow Knife";-114.372;62.454;"";0;"Northwest Territories";-114.372;62.454
